"","rec.id","gender","gname","fname","phone","postcode","age","occup","dup_number"
"1",1,"f","alisss","flores",NA,"617","25-34",NA,1
"2",2,"f","tiana","papageorgiou",NA,"6o2",NA,"B",1
"3",3,"f","luxy","waller","885382506",NA,"60-64",NA,1
"4",4,"m","blauke","waloefr","452507873","906",NA,"E",1
"5",5,"f","eleanor","glass","814880819","607",NA,NA,1
"6",6,"m","connor","statton","8671553q7",NA,"25-34",NA,1
"7",7,NA,"hamisy","armfield","875590269","606",NA,"G",1
"8",8,"f","abbri","cheffon",NA,"61","25-34","C",1
"9",9,"f","madelyn","meaney","375z9584","61z",NA,"F",1
"10",10,NA,"gregory","bishop","792178549","903",NA,NA,1
"11",11,"f","ama6ma","hiras",NA,"z617","45-54","H",1
"12",12,"f","hannah","nktyen","340970762","905",NA,NA,1
"13",13,"m","liam","carbone",NA,"605",NA,NA,1
"14",13,NA,"lia","carbone","708409870","605","25-34","C",2
"15",14,NA,"shakjra","rees","430724e27","905","20-24","H",1
"16",15,NA,"ambe","scrbak","291927891","90s","25-34","B",1
"17",16,"m","callvm","millar","257863164","605",NA,"A",1
"18",17,NA,"caitlin","grsen","244487598","913","35-44",NA,1
"19",18,"m","m'ltcell","heidrich",NA,"614",NA,"C",1
"20",19,"f","caitlin","garcia",NA,"60i",NA,"H",1
"21",20,NA,"yasmin","lombardi","417400952","91q","45-54",NA,1
"22",21,"m","joel","thorpe","485408383",NA,"15-19",NA,1
"23",22,NA,"madeline","ryan","264528476","06",NA,"E",1
"24",23,NA,"aaroj","hnarakis","8824q0077","602","35-44","C",1
"25",24,"f","vauezsa","green","887338499","607",NA,NA,1
"26",25,"m","tylan","bjorkxten","256620911","61t","25-34","C",1
"27",26,NA,"joshua","nguyen","461y79436","602","15-19",NA,1
"28",27,"m","lucz","koldsworthy","846853005","617",NA,"H",1
"29",28,"m","aid","reecs","22706735","617","45-54","E",1
"30",29,"f","kaltlin","ngsuyen","771190657","617","25-34",NA,1
"31",30,NA,"tara","truman","405480432","600",NA,NA,1
"32",30,NA,"tarba","truman","405480q32","600","45-54","A",2
"33",31,NA,"noah","hamon","759249836","61q",NA,"B",1
"34",32,"f","jenn","caruaja","737187451","614","45-54",NA,1
"35",33,"f","tayla","petersen","7912787s8","606",NA,"C",1
"36",34,NA,"benjamin","noble","854642164","67","25-34",NA,1
"37",35,"f","elisabeth","crook","245009608","606",NA,NA,1
"38",36,"f","phoebw","hoanng","843934542","615","45-54",NA,1
"39",37,"f","heathwr","reia","899024106","995","35-44","C",1
"40",38,"m","mi6chell","grern","825892316","61|","35-44","F",1
"41",39,"m","connor","guyatt","781r42360","913",NA,NA,1
"42",40,"m","brandon","bradshavv",NA,"906","35-44",NA,1
"43",41,"m","aahchie","bez0s","377334w16","903","25-34","B",1
"44",42,"m","steluo","allard","302738338","60z",NA,"H",1
"45",43,NA,"jed","grooy","39106369","602","25-34","B",1
"46",44,"m","kye","klarke",NA,"9139","35-44","D",1
"47",45,"m","jad<","maynard","897675842","994","45-54",NA,1
"48",46,"m","nicholas","tardrew","87083z175","902",NA,NA,1
"49",47,"m","dylafn","binnst",NA,"605","60-64","D",1
"50",48,NA,"dara","ferrazzola","466044513","617","65p",NA,1
"51",49,NA,"kourtney","soewandijono","868342984","602",NA,"B",1
"52",50,NA,"jao","jardine","740245220","611",NA,"G",1
"53",553,"m","nathan","hyland","856885711","617","60-64","C",11
"54",554,"m","jack","moulton","224431473","602","45-54","C",11
"55",555,"f","ruby","burford","819539477","602","25-34","F",11
"56",556,"m","dominic","thorpe","291757113","615","45-54","E",11
"57",557,"m","seth","satterley","248515563","617","25-34","C",11
"58",558,"m","joshua","salt","854648477","905","45-54","B",11
"59",559,"m","george","verco","754643531","602","20-24","D",11
"60",560,"m","zachary","galister","714791048","611","25-34","C",11
"61",561,"m","tyron","taglietti","446254430","615","45-54","D",11
"62",562,"f","taliah","lock","820890010","615","25-34","F",11
"63",563,"f","april","monteleone","821828993","602","25-34","B",11
"64",564,"m","baxter","reid","319311896","615","60-64","B",11
"65",565,"m","joshua","aspinall","275406371","615","25-34","H",11
"66",566,"f","charlotte","rawlings","751692748","606","25-34","B",11
"67",567,"f","alana","perriam","847898098","902","35-44","H",11
"68",568,"f","katie","dietrich","485481429","615","35-44","A",11
"69",569,"f","ella","richmond","335766328","604","45-54","C",11
"70",570,"m","kody","winnall","768423398","905","25-34","E",11
"71",571,"m","jack","ayres","820909279","602","25-34","E",11
"72",572,"f","amy","bizjak","844174166","602","15-19","H",11
"73",573,"m","harrison","nguyen","216446591","905","25-34","F",11
"74",574,"m","jayden","rivera","444284809","602","20-24","C",11
"75",575,"f","eva","shepherd","711249373","906","45-54","F",11
"76",576,"f","tara","mason","426185716","611","35-44","B",11
"77",577,"m","jack","clarke","831733168","902","25-34","B",11
"78",578,"m","nicholas","irons","359950544","611","60-64","E",11
"79",579,"m","charlie","cosmetto","456471066","905","25-34","E",11
"80",580,"m","finley","borges","468850933","604","45-54","H",11
"81",581,"m","lachlan","herbert","440955709","603","25-34","B",11
"82",582,"m","kyle","madge","764999559","601","25-34","D",11
"83",583,"f","sophie","jessup","825450735","605","65p","C",11
"84",584,"m","jack","mason","811982304","602","25-34","E",11
"85",585,"f","ellen","dehoedt","456548277","607","25-34","G",11
"86",586,"m","david","andreae","366482692","905","35-44","D",11
"87",587,"f","emiily","clarke","796842649","905","55-59","D",11
"88",588,"m","andrew","everett","207206799","617","20-24","H",11
"89",589,"m","nathan","itinisoff","449508709","615","35-44","E",11
"90",590,"f","keira","matthews","306162217","603","35-44","B",11
"91",591,"f","pia","gillis","847241529","615","20-24","G",11
"92",592,"m","joel","reid","852702784","913","55-59","A",11
"93",593,"f","kira","graue","499054911","913","35-44","B",11
"94",594,"m","finn","wreford","242676069","602","45-54","G",11
"95",595,"m","blake","dekoff","793060612","904","65p","H",11
"96",596,"m","matthew","mcphail","295810595","913","15-19","B",11
"97",597,"m","cooper","coleman","853671625","913","35-44","C",11
"98",598,"f","giaan","pondi","814327487","607","45-54","B",11
"99",599,"f","monique","morrison","220926043","615","25-34","C",11
"100",600,"m","jack","mccarthy","806752547","905","25-34","F",11
"101",601,"f","libby","gogel","290016396","914","35-44","H",11
"102",602,"f","mikaela","berry","316213157","614","25-34","C",11
"103",603,"f","bailee","tomney","413741261","604","20-24","C",11
"104",604,"f","renee","reid","304241841","611","35-44","C",11
"105",605,"f","naomi","colthorpe","426463678","611","45-54","C",11
"106",606,"f","talia","yee","282720449","905","35-44","B",11
"107",607,"m","charles","orchard","342044050","615","15-19","C",11
"108",608,"m","lewis","finlay","487483259","904","35-44","D",11
"109",609,"f","abii","ludgate","476845097","604","45-54","H",11
"110",610,"m","robin","caruana","710827960","904","55-59","E",11
"111",611,"f","tarnee","jervis","239835157","913","45-54","E",11
"112",612,"m","elijah","minards","435970190","611","45-54","B",11
"113",613,"m","andrew","carbone","428044363","913","45-54","H",11
"114",614,"f","tiana","ballantyne","256555502","606","45-54","F",11
"115",615,"m","noah","orlovic","291620946","615","35-44","A",11
"116",616,"m","jack","everett","480345068","902","45-54","C",11
"117",617,"f","jessica","ho","389042887","913","45-54","E",11
"118",618,"m","cooper","holgate","249565522","606","35-44","A",11
"119",619,"m","samuel","caire","740840289","902","15-19","F",11
"120",620,"m","pino","paterson","490808116","602","60-64","B",11
"121",621,"f","pace","jolly","414074625","614","45-54","D",11
"122",622,"m","finnbar","murphy-dorsett","489972748","607","20-24","H",11
"123",623,"m","nathan","van roden","250832219","617","55-59","E",11
"124",624,"f","mikayla","green","714590716","615","55-59","B",11
"125",625,"m","maconal","musolino","447399691","604","25-34","A",11
"126",626,"m","daniel","lowe","240672899","603","65p","C",11
"127",627,"m","oliver","hudd","393438395","604","60-64","B",11
"128",628,"m","max","konistis","298166171","903","25-34","D",11
"129",629,"m","kobe","feleppa","847655740","617","45-54","E",11
"130",630,"m","william","bullock","281734131","614","55-59","G",11
"131",631,"f","koula","whatman","735903672","600","35-44","C",11
"132",632,"m","oliver","afford","434607039","606","45-54","E",11
"133",633,"m","elijah","ho","440446177","905","20-24","A",11
"134",634,"m","angus","reid","824901848","904","25-34","D",11
"135",635,"m","bailey","gaskin","390181119","614","55-59","C",11
"136",636,"m","nathan","dixon","290326111","913","45-54","B",11
"137",637,"m","aidan","gold","333850390","615","45-54","B",11
"138",638,"f","skye","clarke","812688966","612","35-44","C",11
"139",639,"m","heath","gillard","490045179","617","25-34","C",11
"140",640,"m","hudson","stanfield","357354848","611","60-64","E",11
"141",641,"f","jessica","wilkins","796736991","611","45-54","H",11
"142",642,"m","mitchell","leembruggen","870835646","913","25-34","C",11
