"","rec.id","gender","gname","fname","phone","postcode","age","occup","dup_number"
"1",1,"m","christopher","konstad","708256286","913","35-44","G",11
"2",2,"f","madeline","clarke","497099272","606","45-54","E",11
"3",3,"f","sophie","sheldon","842690392","617","65p","H",11
"4",4,"f","chelsea","keith-ladhams","853004885","614","25-34","C",11
"5",5,"f","lucy","jolly","726901257","614","20-24","B",11
"6",6,"f","isabella","povey","809540361","614","20-24","B",11
"7",7,"m","henry","edis","410625005","607","35-44","E",11
"8",8,"f","anneliese","scougall","428933272","611","45-54","F",11
"9",9,"m","jordan","lodge","476468960","586","55-59","B",11
"10",10,"m","bailey","hindmarch","741168562","607","25-34","D",11
"11",11,"f","rachel","jolly","363862574","606","20-24","E",11
"12",12,"m","michael","ahmed","330161781","906","45-54","B",11
"13",13,"m","jayden","oleksinski","390606775","906","35-44","G",11
"14",14,"f","allegra","lock","760535219","904","45-54","B",11
"15",15,"f","charlotte","dixon","896463936","906","25-34","B",11
"16",16,"m","toby","fitzpatrick","880923948","904","35-44","D",11
"17",17,"m","ayden","giordano","433544754","603","65p","D",11
"18",18,"f","aliza","white","496089582","615","20-24","F",11
"19",19,"f","danielle","goode","498872411","617","60-64","G",11
"20",20,"f","portia","everett","871576252","605","55-59","C",11
"21",21,"m","ajay","malpas","305870293","617","25-34","C",11
"22",22,"m","tyler","clarke","769270067","612","35-44","B",11
"23",23,"m","connor","wang","416102589","902","35-44","E",11
"24",24,"m","james","tsakiridis","227107858","904","35-44","E",11
"25",25,"m","jaiden","dabinet","490022939","600","45-54","A",11
"26",26,"m","kieren","wesney","752252823","607","65p","B",11
"27",27,"m","tristan","snushall","733223051","904","45-54","C",11
"28",28,"m","ciaran","corbin","442360723","602","25-34","B",11
"29",29,"m","zane","webb","790975485","614","45-54","E",11
"30",30,"m","kyle","stubbs","706877212","611","25-34","B",11
"31",31,"m","harry","curry","365768828","605","35-44","F",11
"32",32,"f","isabella","snell","740968066","617","55-59","C",11
"33",33,"m","dylan","white","886559366","905","25-34","G",11
"34",34,"m","fraser","negri","238826958","607","25-34","C",11
"35",35,"m","harry","passmore","316505368","614","35-44","B",11
"36",36,"m","jackson","cuming","360745184","606","55-59","A",11
"37",37,"f","hayley","blowes","711630053","602","35-44","B",11
