"","rec.id","gender","gname","fname","phone","postcode","age","occup","dup_number"
"1",1,"f","madison","nguyen","308089668","615","35-44","B",11
"2",2,"f","zoe","wood-bradley","207930493","615","15-19","C",11
"3",3,"f","xani","berry","267051015","605","45-54","D",11
"4",4,"m","benjamin","grierson","709795828","603","55-59","B",11
"5",5,"m","ethan","fleet","766407824","615","25-34","B",11
"6",6,"m","mitchell","wang","491414703","905","25-34","H",11
"7",7,"m","nicholas","tiller","341404679","612","25-34","A",11
"8",8,"m","owen","girdauskas","337531733","600","15-19","D",11
"9",9,"m","kydan","humphreys","444587302","913","25-34","G",11
"10",10,"m","wilson","nguyen","703769465","905","20-24","D",11
"11",11,"m","anthony","white","741634088","605","35-44","F",11
"12",12,"m","patrick","george","760615052","621","60-64","A",11
"13",13,"f","destynii","white","834949481","905","45-54","A",11
"14",14,"f","aleisha","millar","839520248","905","45-54","F",11
"15",15,"m","bailey","white","794205796","913","20-24","F",11
"16",16,"f","katelyn","coleman","311339425","906","20-24","D",11
"17",17,"f","isabella","tao","890815005","604","35-44","C",11
"18",18,"m","david","weidenhofer","829619192","615","25-34","A",11
"19",19,"f","lauren","haverfield","707341301","614","35-44","H",11
"20",20,"f","talia","dixon","283111157","605","45-54","E",11
"21",21,"m","jack","hand","263320935","604","35-44","C",11
"22",22,"m","hamish","dorling","266355971","612","20-24","C",11
"23",23,"f","eliza","teunissen","759750731","607","55-59","H",11
"24",24,"m","ethan","camp","477223021","615","20-24","A",11
"25",25,"m","harry","bruhn","718001366","902","45-54","C",11
"26",26,"m","james","ottewell","277848387","605","45-54","H",11
"27",27,"f","emiily","vandelaar","763446074","612","45-54","G",11
"28",28,"f","georgia","kray","844319559","611","25-34","B",11
"29",29,"m","jamie","speight","860811371","617","45-54","A",11
"30",30,"f","naomi","shadbolt","840905490","611","35-44","H",11
"31",31,"f","lily","burford","821397031","903","65p","F",11
"32",32,"f","tahlia","matthews","727438628","607","35-44","D",11
"33",33,"m","riley","bluemmel","330151241","902","25-34","A",11
