"","rec.id","gender","gname","fname","phone","postcode","age","occup","dup_number"
"1",1,NA,"jazz","0akos","856395810","904","25-34",NA,1
"2",1,"f","jazdz","pakocs","856395810","904","25-34",NA,2
"3",2,"f","mwdison","purtell","495912183","9093",NA,"H",1
"4",3,NA,"harry","siviour",NA,"614","60-64",NA,1
"5",3,"m","harrv","siviour","21949o349",NA,"60-64","E",2
"6",4,NA,"raquel","donnolley","419433761","904",NA,"B",1
"7",5,NA,"christopher","orchard","22628572",NA,"35-44","C",1
"8",6,"m","finm","coleman","487143563","90s","35-44",NA,1
"9",6,"m","fin","coleman","487|43563","905","35-44",NA,2
"10",6,"m","finm","colemam","4871q3563","905","35-44","B",3
"11",7,NA,"zachary","wardle","393275117","906",NA,NA,1
"12",8,"f","madiston","shepherd","808963757","615",NA,NA,1
"13",8,NA,"madispn","shepherd","808963757","65","45-54","E",2
"14",8,"f","matison","shephedd","808963757","6165","45-54","E",3
"15",9,"f","emiily","stubbs","303385486","9o",NA,NA,1
"16",10,NA,"camergn","gazzola","816079705",NA,"60-64","H",1
"17",10,"m","camerron","gazzola","816079705","600","60-64",NA,2
"18",11,"f","nicola","haonnagan","420606309","615",NA,NA,1
"19",11,"f","nicoia","hannaan","420606309","615","45-54",NA,2
"20",11,"f","nixola","hannagan","48205606309",NA,"45-54","H",3
"21",12,"f","hayley","whide","718473137","905",NA,"B",1
"22",12,"f","haylety","white","718473137",NA,"35-44",NA,2
"23",12,"f","hayle","whie","718473137","903","35-44",NA,3
"24",13,NA,"noa","green","292325489","904","35-44",NA,1
"25",13,NA,"noah","9reen","292325489","904","35-44",NA,2
"26",14,"m","sesse","bloomfield","440215228","620",NA,"D",1
"27",15,"m","calluk","cokrane","253886082","603",NA,"A",1
"28",15,"m","calum","cocbrane","NAu","603","45-54","A",2
"29",15,NA,"kallum","cochrane","253886082","603","45-54",NA,3
"30",16,"m","rhys","rollins","330427146","919",NA,NA,1
"31",17,"f","courtney","kan9","423072376","61s",NA,"D",1
"32",17,NA,"courtney","kang","423072376","615",NA,NA,2
"33",18,"m","dealyn","mcconnel","353712173",NA,NA,"F",1
"34",19,NA,"patrick","hemmifgs","23379338","617","45-54","B",1
"35",20,NA,"robbie","deakim","319232853","902","25-34","H",1
"36",21,"f","je5sica","allapanda","243814091","611",NA,"B",1
"37",22,"f","rene3","bistyhop","384400160","9o2","15-19","F",1
"38",23,"f","isabella","berry","455184485","690",NA,NA,1
"39",23,"f","isabella","berry",NA,"600",NA,NA,2
"40",23,NA,"isabella","berfry","455184485","600",NA,"B",3
"41",24,"m","mitchell","merenda","25256842","61s","45-54",NA,1
"42",25,"m","hu9o","koutlakis","803507343","904",NA,NA,1
"43",25,NA,"hugo","koutlakis","803507943","904","25-34",NA,2
"44",25,"m","ugo","kourlakis","803507343",NA,"25-34","E",3
"45",26,"m","anclrew","markotany","363312053",NA,NA,"D",1
"46",26,"m","andrsw","markotany","363312053",NA,NA,"D",2
"47",27,"f","taylah","kreen","800523461","602",NA,NA,1
"48",28,NA,"ayden","taratt",NA,"602","65p",NA,1
"49",28,"m","ayde","tarat","331505370","602","65p",NA,2
"50",29,NA,"danielile","brandstetter","416988307","9g5","35-44","B",1
"51",29,"f","daxielle","brandsteter","41t98830o7","905","35-44","B",2
"52",29,NA,"dadielle","brandstetter","416988307",NA,"35-44","B",3
"53",29,NA,"danielle","brandstetter","416388307",NA,"35-44","B",4
"54",30,"f","jade","hobson","839w19501","67","20-24",NA,1
"55",30,"f","jade","hobson","83919501","608","20-24",NA,2
"56",31,"m","lachlan","paterson",NA,"611",NA,NA,1
"57",32,"m","jarer","hickc","874323532","6q4","60-64","E",1
"58",32,"m","jarecl","hick","874323532","614",NA,NA,2
"59",33,"m","hayfdn","eyles","304w73928","605","20-24",NA,1
"60",34,NA,"daniele","geu","406450y65","905","35-44","D",1
"61",35,"f","kelses","lahey","93579236","913","25-34",NA,1
"62",36,NA,"emiily","jeffries","304402221",NA,"25-34",NA,1
"63",37,NA,"harrison","boyl4","778874417","612","15-19",NA,1
"64",38,"f","emiiy","che5hire","470856663","605",NA,"D",1
"65",39,NA,"brooke","bramny","201404708","617","45-54","B",1
"66",39,"f","brooke","brammy","20140e718",NA,NA,"B",2
"67",40,NA,"kvle","campbell","728392498","91r","25-34","A",1
"68",40,"m","kyle","cambell","728392598","914",NA,"A",2
"69",40,"m","kyle","campbell","72839z498","91r","25-34",NA,3
"70",41,NA,"jacob","heathfield","738016380","612",NA,NA,1
"71",42,"f","ellke","green","763892753",NA,NA,"C",1
"72",43,"f","ashlee","middlebrook","34736818","6o2","35-44",NA,1
"73",44,"m","joshua","rundle",NA,"6o7",NA,"H",1
"74",44,NA,"joshua","rundle","784406513",NA,"25-34","H",2
"75",44,"m","joshua","rundlf","774406513","607",NA,NA,3
"76",45,NA,"charlie","blake","21989z611","9o6","35-44","H",1
"77",45,"m","charlie","blak4","21989612","906","35-44",NA,2
"78",45,NA,"charkie","blake","219892611","986","35-44","H",3
"79",46,NA,"jasper","durovic","833783030","631","45-54",NA,1
"80",46,NA,"jasper","durogic","833783030","611","45-54",NA,2
"81",46,NA,"jazper","durovic","833783030","61|","45-54","H",3
"82",47,"m","pauk","lacw","330556807","607",NA,"C",1
"83",48,"f","bridget","lanyon","212575088","60w",NA,NA,1
"84",48,"f","bridget","lanvon","212575088","6o3","25-34",NA,2
"85",49,"m","brdee","anwyl","202380304","905",NA,NA,1
"86",50,NA,"alisa","vorrasi","8140242y1","600",NA,"F",1
"87",50,"f","alisa","vorrasi","814024271","690",NA,NA,2
"88",50,NA,"alisa","vorrasi","814p24271","600","45-54",NA,3
"89",51,"f","hanhah","morr8son","425116318",NA,"20-24","G",1
"90",51,"f","hannah","morrizon","425116318","611",NA,NA,2
"91",52,NA,"isabella","mccarthy","876s63991","606",NA,"C",1
"92",53,"m","oscar","green","41857o885","614",NA,NA,1
"93",54,"f","madison","lestlie",NA,"614",NA,"F",1
"94",55,"m","noah","staude",NA,NA,NA,"F",1
"95",55,"m","noa","staude","401q97040","904","15-19",NA,2
"96",55,NA,"noah","staude","401497040","90q",NA,"F",3
"97",56,NA,"lachlan-sohn","paine","310369471","904",NA,"E",1
"98",56,NA,"laclan-john","pa'lne","310369471","904","20-24","E",2
"99",57,"f","talsa","noack",NA,"602",NA,"A",1
"100",58,"m","alexander","marinost",NA,"617",NA,"D",1
"101",59,"f","alice","vandersman","78388q838",NA,NA,"D",1
"102",60,NA,"lachlari","stodart","780829336","615","45-54",NA,1
"103",61,"f","samantha","shepherd",NA,"902",NA,NA,1
"104",62,NA,"crla","cannel|","326907570","611","55-59","E",1
"105",63,NA,"emma","hilt0n","861182848","914",NA,"E",1
"106",64,"m","jackspn","matthews","448790700","6o2d",NA,"F",1
"107",65,NA,"zane","milburn","30631u130","605",NA,"H",1
"108",66,"f","geotgia","ridler",NA,"902","25-34","B",1
"109",67,"f","gabielle","froscio","361751736","617",NA,NA,1
"110",68,"f","ern","timpceron","454285057","905",NA,"H",1
"111",69,"m","c0oper","charidleah","210204476","904","45-54",NA,1
"112",69,"m","cooper","chandlr","210204476",NA,"45-54",NA,2
